07-04-2026 18:45:15 | OPTIONS | cafeteria-api/pedido-itens
07-04-2026 18:45:15 | POST | cafeteria-api/pedido-itens
07-04-2026 18:45:18 | POST | cafeteria-api/pedido-itens
07-04-2026 18:46:14 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:46:14 | GET | cafeteria-api/produtos
07-04-2026 18:46:14 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:46:14 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 18:46:14 | PUT | cafeteria-api/pedidos/3
07-04-2026 18:47:09 | GET | cafeteria-api/produtos
07-04-2026 18:47:09 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:47:09 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:47:09 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 18:47:09 | PUT | cafeteria-api/pedidos/3
07-04-2026 18:50:04 | POST | cafeteria-api/pedido-itens
07-04-2026 18:51:47 | POST | cafeteria-api/pedido-itens
07-04-2026 18:53:12 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:53:12 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:53:12 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 18:53:12 | PUT | cafeteria-api/pedidos/3
07-04-2026 18:53:12 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:53:12 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:53:12 | PUT | cafeteria-api/pedidos/3
07-04-2026 18:55:05 | GET | cafeteria-api/pedido-itens/4
07-04-2026 18:55:21 | DELETE | cafeteria-api/pedido-itens/2
07-04-2026 18:55:35 | GET | cafeteria-api/produtos
07-04-2026 18:55:35 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:55:35 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:55:35 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 18:55:35 | PUT | cafeteria-api/pedidos/3
07-04-2026 18:55:39 | OPTIONS | cafeteria-api/pedido-itens
07-04-2026 18:55:39 | POST | cafeteria-api/pedido-itens
07-04-2026 18:55:39 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:55:39 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:55:39 | PUT | cafeteria-api/pedidos/3
07-04-2026 18:55:46 | OPTIONS | cafeteria-api/pedido-itens/3
07-04-2026 18:55:46 | DELETE | cafeteria-api/pedido-itens/3
07-04-2026 18:55:46 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:55:46 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:55:46 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 18:55:46 | PUT | cafeteria-api/pedidos/3
07-04-2026 18:55:51 | OPTIONS | cafeteria-api/pedido-itens
07-04-2026 18:55:51 | POST | cafeteria-api/pedido-itens
07-04-2026 18:55:51 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:55:51 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:55:51 | PUT | cafeteria-api/pedidos/3
07-04-2026 18:55:56 | GET | cafeteria-api/pedidos
07-04-2026 18:58:01 | GET | cafeteria-api/pedidos
07-04-2026 18:58:27 | GET | cafeteria-api/pedidos
07-04-2026 18:59:20 | GET | cafeteria-api/produtos
07-04-2026 18:59:20 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:59:20 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:59:20 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 18:59:20 | PUT | cafeteria-api/pedidos/3
07-04-2026 18:59:24 | GET | cafeteria-api/produtos
ens/3
07-04-2026 18:59:27 | GET | cafeteria-api/pedidos
07-04-2026 18:59:28 | GET | cafeteria-api/pedidos
07-04-2026 18:59:28 | GET | cafeteria-api/pedido-itens/3
07-04-2026 18:59:28 | GET | cafeteria-api/produtos
07-04-2026 18:59:32 | GET | cafeteria-api/pedido-itens/3
